id,nome,cliente,diretor,categoria,produtoraContratante,agencia,creditos,is_service,slug,date,thumbnail,video_url,showable,createdAt,updatedAt
2ae20f21-2201-4e98-b147-9e96c478ac30,Calor Do Momento,Os Garotin,Daniel Venosa,Clipe,Cosmo Cine,,"Director: Daniel Venosa, 1st Assistant Director: Antonio Arraes, Executive Producer: Bernardo Portella, Production Director: Guilherme Bolo, Production Assistants: Bernardo Berriel, Victor Canthé & Bernardo Telles, Set Manager: Bernardo Berriel Netto, Production Intern: Camile Sellos, Director of Photography: Daniel Venosa, 1st Assistant Camera: André Andrade, 2nd Assistant Camera: João Kibe, Steadicam Operator: Fernando Dom, Camera Operator: Gabriel Moska, Logger: Lucas Pará, Video Assist: Izabela Nascimento Pereira, Editor: João Sucupira, Colorist: André Andrade, Sound Technician: Vini Machado, Sound Assistant / Roadie: Lucas Campello, Gaffer: Rapha Santana, Assistant Electricians: Robert Wagner & Thiago Henrique, Electrician’s Assistant: João Pedro Maciel, Moving Lights Programmer: Gabriel Pietro, Moving Lights Operator: Rodrigo Belay, Key Grip: William Drengue, Grip Assistants: Michel da Silva Miguel, Wesly Renato Queiroz & Carlos Alberto Botelho, Art Producer: Paola Garcia, Costume Designer: Roberta Campos, Costume Assistants: Fabiana Pernambuco dos Santos & Mariana Santos Silva, Make-up Artist: Dani Leone, Machinery + Electrical Truck: Sandro, Set Van: Waguinho, Camera Van: Bruno Campos Barros, Crew Van: Mauricio Araujo Rocha Campos, Crew Cars: Thiago Ferreira Gregório, Fabiano Moura, Silvio Cesar Cipriano & Cleber Pereira, Doblo (Crew): Felipe Travassos, Doblo (Art): Jules Marcel, Generator: Sidão, Cleaning:
Maria de Lourdes Duarte Fontoura,
Valterio José Cornélio dos Santos, Camera Supplier: Trovão, Production Infrastructure: ETC Locações, Grip Equipment Supplier: Drengue, Electrical Supplier: Naymar, Moving Lights Electrical Supplier: Cia da Luz",false,calor-do-momento,2024-05-08 00:00:00,https://i.vimeocdn.com/video/2012400662-daa66a002a23a770a459b281d5c2823130dd035759b40fa61c4806ba9816ee2b-d_295x166?region=us,https://vimeo.com/1081587596,true,2025-08-11 20:22:58.124,2025-08-11 20:22:58.124
2e68f211-a6a0-4c73-b77c-1cdbe46389c7,Sniper Queen,Léo Justi,Julio Secchin,Clipe,Cosmo Cine,,"Director: Julio Secchin; Production: Clara Guimarães; Production Manager & First Assistant Director: Victoria Visco; Second Assistant Director & Casting Director: Henrique Ludgério; Cinematography: Daniel Venosa; Camera Assistant: Guilherme Rezende; Logger: João Gasparian; Gaffer: Lucas Stirling; Key Grip: Boião; Costume Design: Maria Alice Salgado; Costume Design: Maria Alice Salgado; Costume designer assistant: Constanza de Córdova; Art director: Isabel Pedrosa; Art director assistants: Manuela Padua & Maria Estephania; Editors: Julio Secchin, Felipe Peres; Production Assistant: Pedro Antunes; Additional Grip: Costelinha; Make up artists: Sandra Augusto & Camila Crus; Make up artists: Sandra Augusto & Camila Crus; Cast: Anderson Luiz, Arthur Murphy, Leo Justi, Juliana Koppel, Vera Rosa, Adriano Canider, Alexandre Ramos, Gustavo Novaes, Rogério Moura, Luangelys de Paula",true,sniper-queen,2012-11-01 00:00:00,https://i.vimeocdn.com/video/509287285-8e92b0ea7afe728a0050c6ee52b646459c0c75b916ffc3d02b73719e264f5a62-d_640?region=us,https://vimeo.com/121160508,true,2025-08-11 04:39:55.208,2025-08-11 04:39:55.208
2f3a437a-b85c-4b0a-8948-04308dd7e789,Windy Oasis,Bernardo Negri,Bernardo Negri,Conteudo,Cosmo Cine,,"Director: Bernardo Negri, Narrator: Bernardo Negri, Editor: Bernardo Negri, Sound Design: Recó, Cover Design: Studio Peixe, Special thanks: Estúdio Zecapagodiscos, Riders: Reno Romeu, Felipe Franco and Bernardo Negri.",false,windy-oasis,2015-04-30 00:00:00,https://i.vimeocdn.com/video/519402938-d7f3c0e038265c1250834808a3f485b32487f47477a9146b96092af713fb4607-d_640?region=us,https://vimeo.com/126533698,true,2025-08-11 06:06:24.23,2025-08-11 06:06:24.23
32a4efb1-cdc5-497b-9b3e-018337f7e127,Made In CDD,HBO Max,N/A,Publicidade,Cosmo Cine,,,true,made-in-cdd,2025-06-06 00:00:00,https://i.vimeocdn.com/video/2012617480-37b8015c9b72c9ca2ea4416b3393e136291261f62af0ff0a3b8a77aba616bce8-d_295x166?region=us,https://vimeo.com/1081766307,true,2025-08-11 20:15:23.595,2025-08-11 20:15:23.595
33c4ac2a-df20-4140-b463-f15f5ecf6698,Um Dia Sem Gravidade,Julio Secchin,Julio Secchin,Conteudo,Cosmo Cine,,"Diretor: Julio Secchin, Apresentador Ricardo Boechat",false,um-dia-sem-gravidade,2015-01-01 00:00:00,https://i.vimeocdn.com/video/514625006-42c332c7cb756ef430976d16bdba592c2f10a00d2b06c78c99c9138c59eb14d7-d_640?region=us,https://vimeo.com/124772164,true,2025-08-11 04:54:28.898,2025-08-11 04:54:28.898
38bcecef-375a-4d84-9fdb-48100f9d8cc3,Corre,Redley,N/A,Publicidade,Cosmo Cine,,,true,corre,2021-10-27 00:00:00,https://i.vimeocdn.com/video/1286197842-17e19b0f086d4d872cd8852b18dfeb2ff452a03e08707056c_295x166?region=us,https://vimeo.com/639576352,true,2025-08-11 21:49:06.406,2025-08-11 21:49:06.406
3a2dd1bf-638b-4568-a28c-afba75a34d51,Ponta do Anzol,Scalene,Eduardo Roquette,Clipe,Cosmo Cine,Som Livre,"Director: Eduardo Roquette, Director of Photography: Bernardo Negri, Producers: Bernardo Portella & Guilherme Meirelles, Production Assistant: Alexandre Lessa, Camera Operators: Fernando Macedo & Tomás Camargo, Camera Assistants: Andre Andrade & Guilherme Rezende Jr., Logger: Jayme Rodrigues Neto, Crane Operator: Mauricio, Gaffer & Grip/Electric: Raphael Santana & William Gomes, Art Department: Marcos Reis & Ary, Makeup: Jorge Henrique Monteiro",true,ponta-do-anzol,2017-11-17 00:00:00,https://i.vimeocdn.com/video/687155147-f990a02b576e351dfbe8a2bff9f2560e53f56cc10e99696cf2c0b8777f324b03-d_640?region=us,https://vimeo.com/243307010,true,2025-08-11 07:37:00.593,2025-08-11 07:37:00.593
3c684b08-d9e5-45c4-8511-22f7856d1cc1,Winter 2024,FYI,Breno Moreira,Publicidade,Cosmo Cine,,"Director: Breno Moreira, DOP: Lucas Nobrega, Stedycam: Tiago Rios, Branding Director: Renata Simões, Creative Director: Peu Mello, Marketing: Bruna Oliveira, Still Photography: Demian Jacob, Styling: Bebel Moraes, Make-up: Vini Kilesse, Models: Marcela Vivan, Fabiana Mayer",true,winter-2024,2014-08-11 00:00:00,https://i.vimeocdn.com/video/515068865-6ad3a5ced4d3fb876e0b6564a1235eb9c2e80cd30fa5030231178a7c6165c9c3-d_640?region=us,https://vimeo.com/125092858,true,2025-08-11 05:04:35.428,2025-08-11 05:04:35.428
3d173286-ca7b-465f-91b2-638d49f6bd5e,Copyright Cops,Julio Secchin,"Julio Secchin ",Conteudo,Cosmo Cine,,"Director: Julio Secchin; Producer: Luiz Felipe ""Moe"" Couto; Cinematographer: Daniel Venosa; Assistant Director: Rodrigo Vasconcellos; Art Director: Maya Dikstein, Laura Shalders; Editors: Felipe Peres, Vincent Zoidberg; Original Titles Design: Níkolas Pereira; Typography: Níkolas Pereira; Art Production: Gabriel Cabral; Art Director Assistants: Livia Travassos, Manoela Medeiros; Original Music & Sound Design: Bernardo Uzeda; Sound Design: Bernardo Uzeda; Sound Recordist: Diogo Valentino; Still Photographer: Gabriel Secchin; Additional Photography & Camera Operators: João Atala, Diego Quinderé, Lourenço Monte-Mór, Gabriel Mariani, Guilherme Rezende & Marcelo Pizzato; Special Effects: Equipe M; Continuity: Manuelle Rosa, Make-up Artist: Isabela Arêde; Casting: Rodrigo Vasconcellos, Duda Gorter; Production Assistants: Emerson Mendes, Nathalia Melo, Leonardo Batista de Brito; Set Manager: Rafael ""Torah"" Silva; Gaffer: Danilson Souza Costa; Additional Gaffer: Baianinho; Best Boy Electric: Bartô; Starring: Pedro Ramôa, Gustavo Berriel, Rafaella Buzzi, André Ramiro; Featuring: Marcello Biju, Guilherme Bellem, André ""Fofo"" Chaves, Gabriel Frazão; 1st Camera Assistant: Guilherme Rezende; 2nd Camera Assistant: Marcelo Pizzato",false,copyright-cops,2011-05-14 00:00:00,https://i.vimeocdn.com/video/515515343-0b0e8cf16f47f1790ac5b98ef56103669773aa78f61d8afe07a0518b4d76fa43-d_640?region=us,https://vimeo.com/125401219,true,2025-08-11 05:15:56.974,2025-08-11 05:15:56.974
428ada98-99de-4c0c-9856-df2b0530e416,Battery,Samsung,N/A,Publicidade,Cosmo Cine,,,true,battery,2021-08-11 00:00:00,https://i.vimeocdn.com/video/1212408770-dcd63be886e829385151257518562ad8d8cbf27ebd3e5ee62755c233716eeaf7-d_295x166?region=us,https://vimeo.com/585921168,true,2025-08-11 21:52:36.624,2025-08-11 21:52:36.624
